;;ÁMBITO MAGMÁTICO;;;;;;;ÁMBITO HIDROTERMAL;;;;;;;ÁMBITO SEDIMENTARIO;;;;;;;ÁMBITO METAMÓRFICO;;;OTROS YACIMIENTOS
;;Cromitas en Rocas Ultramáficas;Elementos del Grupo del Platino;Sulfuros de Ni - Cu. En Rocas Ultramáficas;Sulfuros de Ni - Cu. Asociados a gabros;Óxidos de Fe - Ti (±V);Pegmatíticos y neumatolítico - hidrotermales   Sn - W;Pórfidos Cu - Mo - Au;Pórfidos Sn;Filones y mantos Pb - Zn - Ag;Filones de Ag - Co - Ni - Bi - U;Yacimientos epitermales. Alta sulfuración;Yacimientos epitermales. Baja sulfuración;Oro diseminado (tipo Carlin);IOCG;Sulfuros masivos volcanogénicos (SMV). Tipo Cu - Zn;Sulfuros masivos volcanogénicos (SMV). Tipo Zn - Pb - Cu;Formaciones bandeadas BIF;Formaciones bandeadas BMF;Yacimientos de Cu - Pb - Zn en rocas sedimentarias. Tipo SEDEX y Mississippi Valley (Pb - Zn - Ag);Yacimientos de Cu - Pb - Zn en rocas sedimentarias. Tipo Kupferschiefer / Copper Belt (Cu - Co - Polimet.);Yacimientos detríticos, paleoplaceres y metaconglome - rados;Skarn;Yacimientos orogénicos de Au;Yacimientos polimetamórficos;
Minerales;Abrev.;I.1;I.2;I.3;I.4;I.5;I.6;H.1;H.2;H.3;H.4;H.5;H.6;H.7;H.8;S.1;S.2;S.3;S.4;S.5;S.6;S.7;M.1;M.2;M.3;
Argentita;arg;0;0;0;0;0;0;4;3;4;3;4;2;0;5;0;4;0;0;4;4;0;4;4;4;
Arsenopirita;asp;0;0;0;0;0;2;3;3;3;2;3;3;2;4;3;3;4;0;3;3;5;3;2;3;
Bismutina;bm;0;0;0;0;0;3;4;2;3;2;4;4;0;4;4;3;0;0;4;4;0;5;4;4;
Bornita;bn;0;0;0;4;5;0;2;4;4;4;3;4;3;2;4;3;4;5;4;2;5;5;4;4
Calcopirita;ccp;3;3;1;1;3;3;2;3;3;3;2;3;3;2;2;2;5;5;3;2;5;3;3;3;
Calcosina;cc;0;0;0;0;0;0;2;3;3;3;4;3;4;2;3;3;5;5;3;2;0;4;4;4;
Casiterita;cs;0;0;0;0;0;2;4;1;0;4;4;4;0;4;0;5;0;0;0;0;2;5;0;0;
Cinabrio;cin;0;0;0;0;0;0;0;4;4;4;4;4;3;0;4;4;0;0;4;0;0;0;0;0;
Covellina;cv;0;0;0;0;0;0;2;3;3;4;3;3;4;5;3;3;5;5;4;3;0;4;4;4;
Cromita;chr;1;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;
Cubanita;cbn;4;4;2;2;0;4;3;0;4;4;0;0;0;0;3;5;0;0;0;4;0;5;0;4;
Cuprita;cup;0;0;0;0;0;0;3;4;0;0;3;4;0;5;4;4;0;0;0;3;0;4;0;0;
Digenita;dg;0;0;0;0;0;0;2;4;4;4;4;4;4;5;3;3;5;5;5;2;0;4;4;4;
Enargita;en;0;0;0;0;0;0;3;0;4;0;3;4;0;0;5;5;0;0;0;5;0;4;0;4
Esfalerita;sp;5;5;0;0;0;5;3;3;1;4;3;2;4;4;3;2;0;0;2;3;0;3;3;2
Estannina;stn;0;0;0;0;0;3;4;2;0;4;4;4;0;4;5;5;0;0;0;4;0;4;0;0
Estibina;sbt;0;0;0;0;0;0;3;3;4;4;4;4;4;0;4;3;0;0;4;4;0;4;3;4
Galena;gn;0;0;0;4;0;0;4;3;1;3;4;2;4;4;4;3;0;0;2;3;4;3;3;2
Goethita;gth;4;4;4;4;4;5;2;5;5;4;3;5;3;2;3;3;2;3;5;5;3;3;3;3
