Estadisticas de clasificacion de pixels condicional. Umbral distancia: 50.000000, Umbral confiabilidad: 1.500000. 
Generado por PruebaPixels
# 23 del  7 de 2010 a las 17:56


Mineral	VerdaderosPositivos	FalsosPositivos	FalsosNegativos	VerdaderosNegativos	               Total
--------------------------------------------------------------------------------------------------------------
    res	              38516	             16	           2076	                257	               40865
    spn	              63381	          87088	         164611	             180897	              495977
      q	              14744	           2104	            327	               5174	               22349
    tit	             162048	            149	          29052	               1935	              193184
    sch	              19724	            143	           4979	               1714	               26560
    chr	              24719	           2997	         659432	             129561	              816709
     cs	              78431	             81	         229470	             116852	              424834
    gra	              25707	              0	            108	                238	               26053
    vll	               2332	              0	              0	                  0	                2332
    gth	              85196	             80	            399	                230	               85905
    urn	              59863	              0	             31	                  0	               59894
     wf	             145245	            143	           5692	               1069	              152149
    mng	               6298	              7	            347	                 40	                6692
     sp	             481032	             10	           1922	                133	              483097
     dg	              15347	              0	              0	                  0	               15347
     il	             269272	             18	           4567	                753	              274610
     mg	             123244	              5	             71	                 16	              123336
     rt	             157546	              1	            322	                310	              158179
    psi	              24102	             92	            476	                321	               24991
     ht	              21045	              7	             92	                 20	               21164
    cup	              78827	           1094	          36414	               8118	              124453
    snt	              31141	              0	              4	                 51	               31196
    cin	              21661	              1	            241	                 52	               21955
     en	              41331	              2	            391	                 23	               41747
    stm	                839	             28	            135	                 86	                1088
pru-prg	              23064	              0	            111	                  6	               23181
     td	              61821	             59	          15956	               3713	               81549
    stp	               1087	            458	           4116	               2395	                8056
     bn	             212489	              0	             77	                  0	              212566
 pc-plb	               6029	             21	           2389	                512	                8951
    fbg	                462	             45	            722	                289	                1518
     mo	              25566	              5	             66	                401	               26038
    prl	               3216	             11	            185	                 74	                3486
    arg	               3018	             16	            448	                 94	                3576
     jl	               1911	              2	             78	                 15	                2006
     cc	              43963	              3	            536	                 67	               44569
     cv	              24948	              0	              2	                271	               25221
    bnn	              41408	             21	           3761	                373	               45563
     jm	              13757	            181	           2884	               1255	               18077
    gtt	              14739	            197	           4392	               1360	               20688
     fc	               1184	             52	           1067	                495	                2798
     bl	               1740	            264	           4132	               1752	                7888
     jd	              16837	           2893	          35707	              12748	               68185
    sbt	              35865	            346	           7062	               2211	               45484
     gc	              10288	            156	           3235	               1348	               15027
    cbn	              65373	              0	             14	                 79	               65466
     gn	              38312	              6	            197	                 41	               38556
     bm	              34096	             19	            575	                119	               34809
    cos	              16188	             56	            941	                252	               17437
    ccp	              49635	              0	              1	                  0	               49636
     po	             295442	              0	            144	                  0	              295586
     gf	              25302	              0	              8	                  0	               25310
     mc	              72931	              0	              1	                  9	               72941
     sf	              12680	            377	           8785	               3241	               25083
     py	             214601	              0	             22	                  0	              214623
     sk	               9115	            511	          10611	               2918	               23155
    asp	              37212	           6948	          17995	              18774	               80929
     lo	              85802	            679	          31787	               5487	              123755
     pn	              59609	              0	              9	                  8	               59626
  ln-vl	              75179	              0	              6	                  1	               75186
  ln-pm	               4621	              0	             30	                  1	                4652
     ml	              30441	              0	              5	                  0	               30446
     rm	              13462	              1	             19	                  0	               13482
     nc	              36090	              0	            104	               2996	               39190
    prm	               3445	              0	             44	                 96	                3585
     os	              39222	              0	             13	                  0	               39235
     pt	              17116	              0	             10	                  1	               17127
     bi	              15321	              0	             38	                  0	               15359
     ir	              17412	              1	            277	                 11	               17701
     au	               1887	              0	              2	                  0	                1889
     cu	               4346	              0	             91	                 20	                4457
     ag	               7506	              0	             19	                  0	                7525
